0,104,0
1,107,58
2,98,60
3,72,39
4,67,34
5,92,33
6,108,49
7,89,47
8,97,47
9,81,43
10,85,39
11,101,37
12,105,52
13,100,44
14,64,31
15,81,29
16,88,36
17,117,41
18,141,70
19,159,75
20,159,82
21,192,94
22,183,104
23,191,97
24,174,88
25,157,84
26,101,39
27,58,28
28,66,24
29,54,27
30,71,30
31,60,29
32,73,27
33,70,32
34,75,37
35,77,36
36,77,26
37,87,28
38,86,31
39,69,30
40,65,29
41,78,31
42,71,23
43,72,30
44,73,24
45,75,3
46,89,29
47,77,29
48,68,28
49,70,35
50,74,45
51,74,39
52,66,35
53,75,37
54,70,26
55,68,29
56,70,23
57,73,31
58,77,34
59,55,25
60,52,13
61,71,18
62,74,24
63,95,31
64,89,33
65,83,38
66,76,36
67,78,29
68,78,35
69,72,33
70,52,25
71,56,17
72,70,26
73,65,35
74,61,28
75,55,23
76,83,15
77,82,32
78,84,34
79,99,42
80,88,35
81,86,32
82,88,37
83,70,29
84,65,28
85,68,28
86,82,31
87,80,45
88,63,28
89,72,25
90,79,33
91,70,29
92,76,37
93,80,36
94,65,34
95,75,34
96,57,28
97,62,24
98,71,21
99,58,6
100,66,19
101,87,29
102,76,33
103,69,25
104,75,29
105,85,39
106,61,31
107,76,31
108,70,35
109,87,29
110,87,31
111,78,31
112,71,33
113,74,27
114,69,24
115,56,29
116,57,20
117,53,24
118,64,28
119,82,14
120,125,39
121,138,65
122,158,71
123,165,72
124,151,72
125,96,59
126,71,36
127,55,21
128,59,20
129,44,22
130,44,15
131,55,19
132,48,20
133,61,23
134,59,23
135,55,21
136,68,22
137,62,20
138,56,21
